time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T21:24:39.430Z,33.6505,-116.6811667,11.64,0.81,ml,29,52,0.06647,0.25,ci,ci37735280,2016-11-08T21:28:18.860Z,"10km SSE of Idyllwild, CA",earthquake,0.41,0.66,0.156,29,automatic,ci,ci
2016-11-08T21:20:57.000Z,61.7449,-148.1966,11,2,ml,,,,0.54,ak,ak14310543,2016-11-08T21:27:15.315Z,"34km E of Sutton-Alpine, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-11-08T21:14:30.470Z,38.8300018,-122.8498306,1.36,0.6,md,9,103,0.006023,0.03,nc,nc72722175,2016-11-08T21:16:10.563Z,"10km NW of The Geysers, California",earthquake,0.44,0.7,0.2,2,automatic,nc,nc
2016-11-08T21:12:51.790Z,36.1478333,-118.0398333,2.06,0.79,ml,13,82,0.1528,0.27,ci,ci37735272,2016-11-08T21:16:28.052Z,"14km NW of Coso Junction, CA",earthquake,0.7,4.05,0.149,9,automatic,ci,ci
2016-11-08T21:10:50.450Z,38.8276672,-122.8529968,1.79,1.36,md,17,72,0.00303,0.08,nc,nc72722170,2016-11-08T21:12:31.207Z,"10km NW of The Geysers, California",earthquake,0.31,0.52,0.11,7,automatic,nc,nc
2016-11-08T21:05:16.000Z,62.943,-150.3378,31.6,1.7,ml,,,,0.82,ak,ak14310473,2016-11-08T21:12:26.628Z,"69km N of Talkeetna, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-11-08T21:03:51.240Z,38.8289986,-122.8511658,1.26,0.68,md,8,153,0.01391,0.02,nc,nc72722165,2016-11-08T21:05:30.547Z,"10km NW of The Geysers, California",earthquake,0.49,0.88,0.11,2,automatic,nc,nc
2016-11-08T21:00:55.000Z,38.8294983,-122.8491669,1.32,1.1,md,13,90,0.01275,0.02,nc,nc72722160,2016-11-08T21:02:38.329Z,"9km NW of The Geysers, California",earthquake,0.26,0.48,0.15,2,automatic,nc,nc
2016-11-08T21:00:49.080Z,38.8288345,-122.8525009,2.13,1.63,md,16,64,0.00365,0.06,nc,nc72722155,2016-11-08T21:02:32.461Z,"10km NW of The Geysers, California",earthquake,0.31,0.48,0.13,5,automatic,nc,nc
2016-11-08T21:00:22.000Z,60.099,-152.8334,117.3,2.4,ml,,,,0.81,ak,ak14310469,2016-11-08T21:12:25.958Z,"43km S of Redoubt Volcano, Alaska",earthquake,1.1,1.2,,,automatic,ak,ak
2016-11-08T20:57:40.420Z,38.8289986,-122.8503342,1.47,0.46,md,7,127,0.00531,0.02,nc,nc72722145,2016-11-08T20:59:19.391Z,"9km NW of The Geysers, California",earthquake,0.54,0.77,0.13,2,automatic,nc,nc
